,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
1613,MCM6,-0.42011315,-0.8132612,0.4160683037834486,CCDC173,-0.5051171,-0.1503321,0.8805026127585501,PROX1,-0.7482444,-0.18658474,0.8519862310298261,RAB25,-0.3514586,-0.14566456,0.8841862057114372,SLC46A3,-0.3118313,-0.075489216,0.9398254773996287,MAP7D3,-0.893011,-0.102081016,0.9186923719996873,DNALI1,-0.27020457,-0.28543764,0.7753088731079741
1614,VIP,-0.014806862,-0.82070005,0.4118171277297814,MMP14,-0.6190615,-0.1516476,0.8794648945311738,PCAT18,-1.6875917,-0.1868076,0.8518114910572794,CAPG,-0.082029924,-0.14680342,0.8832871778388108,CCR1,-1.1170413,-0.07552363,0.9397980963978277,PIR,-0.2709802,-0.10419535,0.9170143238183693,PLCB3,-1.2660384,-0.28971556,0.7720338477834991
1615,ABCB10,-1.6032553,-0.8696273,0.38450412137334544,SYTL1,-0.92645895,-0.1538888,0.877697407834699,ABCC11,-1.8114375,-0.18694688,0.8517022822679504,SAMD11,-22.956482,-0.14832193,0.8820887080007872,TNFAIP8,-1.2574242,-0.07562687,0.9397159538195562,PODN,-0.60507554,-0.104649834,0.9166536698866128,HEY2,-23.891556,-0.28998864,0.7718249407583453
1616,UPP1,-0.37618306,-0.8735223,0.38237845307248153,ADCY4,-23.162489,-0.15603258,0.8760073385923843,APOBEC3C,-1.8192372,-0.18697473,0.8516804408512533,MS4A4A,-22.85353,-0.14832193,0.8820887080007872,GJB2,-1.191142,-0.07562687,0.9397159538195562,Z82214.2,-22.50936,-0.10563784,0.9158696988754863,PIR,-0.87458676,-0.29028443,0.7715986434814286
1617,FGFR2,0.009026418,-0.8800832,0.37881424902532546,CD84,-23.19286,-0.15603258,0.8760073385923843,VAC14-AS1,-2.2837212,-0.18725331,0.8514620329438383,NRARP,-22.978174,-0.14832193,0.8820887080007872,TBC1D10C,-1.3396742,-0.07579895,0.9395790509481423,AP002986.1,-22.179983,-0.10563784,0.9158696988754863,SPINT1-AS1,-0.651111,-0.29567736,0.7674764945175362
1618,MRPS28,0.07584388,-0.88694733,0.37510724263403583,ERG,-23.083761,-0.15603258,0.8760073385923843,AL513217.1,-1.4123174,-0.18815865,0.8507522860086104,AL451165.2,-0.522877,-0.14901419,0.8815424361554456,AL121894.2,-1.1867896,-0.07579895,0.9395790509481423,PPP1R1C,-22.420076,-0.10563784,0.9158696988754863,ITPR2,-0.4958181,-0.29622346,0.7670594261060528
1619,ZNF414,-0.31885237,-0.88956535,0.37369933283749135,AC137723.1,-23.21841,-0.15603258,0.8760073385923843,EFCC1,-0.94152576,-0.18861829,0.8503919991827606,SUDS3,-0.09241733,-0.15008608,0.8806967071435343,RIN3,-0.50000286,-0.07622914,0.9392368015905319,CST7,-22.213118,-0.10563784,0.9158696988754863,LINC00595,-1.0394273,-0.29749775,0.7660865290389215
1620,ELOVL1,-0.090828255,-0.90503365,0.3654475525877363,C6orf132,-1.4050831,-0.15690958,0.8753161091121208,ITGA5,-0.7200454,-0.1930893,0.8468890316929705,MICALL1,-1.3438923,-0.15026473,0.88055576550922,AC009404.1,-0.9038384,-0.07813917,0.9377173508540687,RGS5,-22.24015,-0.10563784,0.9158696988754863,IL10RA,-23.94882,-0.29804388,0.7656696859515681
1621,MFSD10,0.039004978,-0.91884184,0.3581783076447884,EPSTI1,-1.7329504,-0.15744552,0.8748937378859841,PLCB3,-0.5102263,-0.19310322,0.8468781237097855,ZNF736,-0.80802274,-0.15256481,0.8787414814595924,CNTNAP3,-0.78126794,-0.07813917,0.9377173508540687,FCGR2B,-22.390417,-0.10563784,0.9158696988754863,ZNF503,-0.11319953,-0.29895407,0.7649750982903846
1622,ZNF503,-0.8653006,-0.91925687,0.3579612277544416,SLC7A2,-1.0774913,-0.15844433,0.874106686699489,ADAMTS1,-0.74813557,-0.19345143,0.8466054336703926,GSTM2,-1.8975167,-0.15325706,0.8781955589966935,GAL3ST4,-0.4428198,-0.078173585,0.937689975426459,TMEM51-AS1,-22.36244,-0.10563784,0.9158696988754863,VASP,-0.4962245,-0.29959118,0.7644889993373503
1623,PLXNB1,-0.09549976,-0.9225613,0.3562358923738249,SLC25A26,-0.18422152,-0.16112405,0.8719957033904405,ZNF385C,-3.3531415,-0.19517855,0.8452531631930937,PLIN4,-0.36377695,-0.15334639,0.8781251216018036,KCNMB1,-1.2735364,-0.07824241,0.9376352247922194,MALRD1,-22.174215,-0.10563784,0.9158696988754863,FOS,0.08136593,-0.30111578,0.7633262109390186
1624,PREX1,0.021981709,-0.92270494,0.35616099690216896,ADAP1,-0.117549084,-0.16131893,0.8718422127000991,AQP5,-1.1236942,-0.19676639,0.8440103488125295,BAG3,-0.37630785,-0.15406097,0.8775616572218219,DISP2,-0.1028831,-0.07831124,0.9375804744528341,LCK,-22.388266,-0.10563784,0.9158696988754863,TFF3,0.046992075,-0.3014116,0.763100657024485
1625,NAT1,-0.90500754,-0.94585156,0.34422429841454094,STX2,-0.36864328,-0.16226901,0.8710940147930641,LAT2,-0.970144,-0.19815923,0.8429204803038536,MYH11,-1.0796047,-0.15540083,0.8765053289164729,AC106869.1,-1.5150137,-0.07838007,0.9375257244085609,CFAP126,-22.380331,-0.10563784,0.9158696988754863,NUDT7,-0.9571727,-0.32086703,0.7483111509994105
1626,C1QB,0.008819627,-0.9523326,0.34092831504426446,MYH15,-23.105116,-0.1634627,0.8701541348413869,EFNA4,-0.76171243,-0.19860494,0.8425717858057304,TGM2,-0.3529633,-0.1563834,0.8757308278260745,PAWR,-0.42898595,-0.07882747,0.9371698563319458,GJA5,-22.463512,-0.10563784,0.9158696988754863,ZFYVE9,0.08630174,-0.3216407,0.7477248998709929
1627,ILKAP,-0.10106635,-0.95562106,0.33926372360581636,ARSI,-23.14942,-0.1634627,0.8701541348413869,TCIRG1,-0.70088977,-0.20261632,0.8394349322288468,AL121894.2,-23.044542,-0.15656205,0.8755900222095038,CSMD3,-0.34428486,-0.08106444,0.9353907056169604,KCNQ1,-22.298258,-0.10563784,0.9158696988754863,SSR4,-0.032220226,-0.33649966,0.7364941019248004
1628,HINFP,-0.7724446,-0.95753664,0.3382964659032328,ZNF610,-23.09293,-0.1634627,0.8701541348413869,ABCC4,-2.0648968,-0.20406488,0.8383028033268751,ANGPTL1,-23.043118,-0.15656205,0.8755900222095038,F5,-21.56664,-0.08130535,0.9351991238553026,KCNE5,-22.406633,-0.10563784,0.9158696988754863,SERAC1,-0.34314278,-0.3382518,0.7351734458944846
1629,SREBF1,-0.0127998525,-0.97219086,0.33095561149640873,MISP,-0.9549159,-0.16560648,0.8684666484268142,ENO3,-1.4339062,-0.20494236,0.8376171570674179,CYSRT1,-22.99455,-0.15656205,0.8755900222095038,AL162274.2,-21.663435,-0.08130535,0.9351991238553026,AC092574.1,-22.236526,-0.10563784,0.9158696988754863,SLFN5,-2.2759597,-0.33857036,0.7349334105779615
1630,SDCBP2,-0.15847425,-0.980811,0.32668596317099297,DTYMK,-0.317523,-0.16611806,0.8680640410480724,AC002429.2,-1.6223546,-0.20555522,0.8371383661069981,ARHGAP17,-0.52657574,-0.15808055,0.8743933339155326,BANK1,-21.533419,-0.08130535,0.9351991238553026,CLCA4,-22.258703,-0.10563784,0.9158696988754863,CCDC173,-0.5112771,-0.34441838,0.7305316697173292
1631,PER3,-0.75511473,-0.9810664,0.32656000332964885,SNORC,-0.13913605,-0.17025945,0.864806106906499,DTYMK,-0.34320173,-0.20658591,0.8363332628653166,DEGS2,-0.16725254,-0.15915242,0.8735487855395624,AL021328.1,-21.86091,-0.08130535,0.9351991238553026,C3orf52,-22.155535,-0.10563784,0.9158696988754863,ZSCAN5A,-0.9380655,-0.3468759,0.7286845462965021
1632,SMC2,-1.197422,-0.981673,0.32626097518747965,CHMP4C,-23.233793,-0.17089283,0.8643080357392974,JAK2,-0.8903105,-0.20703162,0.8359851631527697,SLC7A2,-0.8619377,-0.15928641,0.8734432271025089,BCL2A1,-21.921991,-0.08130535,0.9351991238553026,DLEC1,-22.433352,-0.10563784,0.9158696988754863,STON2,-0.26187128,-0.34853703,0.7274369185599101
1633,NME4,0.05835591,-0.9841632,0.32503525145847245,AL390719.2,-23.295158,-0.17089283,0.8643080357392974,SLC1A5,-0.48298743,-0.2091348,0.834343002121268,TRIM59,-1.4863061,-0.16098356,0.8721063491813673,TXNIP,-0.21664672,-0.08338745,0.9335434675983294,AC096733.2,-22.301058,-0.10563784,0.9158696988754863,SPX,-0.44968104,-0.34958375,0.7266511128681257
1634,DYNLT1,-0.011830478,-0.9876113,0.32334304881524933,CLIC2,-1.2828152,-0.17142877,0.8638866330041763,HEPN1,-0.38346305,-0.21100122,0.8328863246979052,TMEM37,-1.6277804,-0.16107288,0.8720359972691291,SH3BP5-AS1,-0.6817808,-0.08392088,0.9331193371706096,HEPN1,-0.20251839,-0.10605281,0.9155404554057965,CREB1,-0.041193932,-0.3509718,0.725609509708544
1635,ADAM15,-0.0485602,-0.9902772,0.3220386686638991,ACVRL1,-1.1420476,-0.1737187,0.8620865315925941,MIR200CHG,-2.4736702,-0.21183692,0.8322342666873868,ANKRD36C,-0.6373977,-0.16125153,0.8718952964817668,KIF6,-0.70835376,-0.08409296,0.9329825249479631,SUCLG2,-0.12606305,-0.10751506,0.9143803799926884,HIST1H4H,-0.44258508,-0.3646475,0.7153745553662543
1636,CA7,-0.9510794,-0.99056447,0.3218982820958699,PAQR6,-0.14610095,-0.17398669,0.8618759280439623,ITPR2,-0.5303406,-0.21222691,0.8319300124238469,FAM189A2,-0.9877341,-0.16160883,0.8716139070708078,AC002429.2,-0.7791232,-0.084299445,0.9328183528943409,KCNK15,-0.516714,-0.108127624,0.9138944565138735,ELN,-1.0172645,-0.3687889,0.7122850857178119
1637,IFITM2,-0.053077523,-0.9921448,0.32112687012005947,LCORL,-1.3107985,-0.17464443,0.8613590337197576,PLIN2,-0.71278524,-0.2123662,0.8318213562871848,GBP1,-2.2068925,-0.16169815,0.8715435622553747,AC003102.1,-0.9414502,-0.08460918,0.9325721001742923,PGR,-1.8155867,-0.10885875,0.9133145254754946,RXRG,-1.7522906,-0.37208834,0.7098270674224818
1638,CREB3L1,-1.2061278,-0.9967582,0.3188818842245239,PREX1,-0.19641995,-0.17625226,0.8600957646543568,NDNF,-1.925307,-0.2132019,0.8311694870298394,TCOF1,-0.13755682,-0.16256906,0.8708577536340214,MS4A6A,-0.90962696,-0.08460918,0.9325721001742923,GDPD2,-1.8630693,-0.10889827,0.9132831791638959,ID1,0.028448004,-0.3755016,0.7072874637723878
1639,ITGB1,-0.09057456,-0.99752444,0.31851001198340134,LY6G5C,-23.241528,-0.17832296,0.8584693550043272,LGALS9,-0.37397763,-0.21360582,0.8308544584933242,SGSH,-0.6228635,-0.1627477,0.870717086926667,LIMK2,-0.5657136,-0.086295515,0.931231504742017,BCL9,-0.20910066,-0.11089405,0.9117003668926769,FBXO38,-0.38477516,-0.37702617,0.7061541569256795
1640,SKIV2L,-0.39518374,-1.0144295,0.3103778635523907,ZNF776,-0.6492612,-0.17839603,0.858411963241172,MYO1D,-0.559937,-0.2159458,0.829030001935217,GTF2IRD1,-0.5186337,-0.16281469,0.8706643379655622,DACT2,-0.9027819,-0.08686336,0.9307801234649123,HSPA6,-0.79878247,-0.11132877,0.9113556421451643,METTL7A,0.020297976,-0.37739024,0.7058836127301255
1641,MMP11,-0.6676577,-1.0165685,0.3093587224979525,JRKL,-1.3853657,-0.17893198,0.8579911131938431,EFEMP1,-0.26463214,-0.21685115,0.8283243577688946,ARHGAP36,-23.091137,-0.16480215,0.8690997148417455,CLEC7A,-0.96996623,-0.08700102,0.930670701048142,TOP1MT,-0.8960849,-0.11136829,0.9113243043580594,SYAP1,0.050435588,-0.37818667,0.705291926932094
1642,SERAC1,-1.3423877,-1.0166165,0.30933593124304193,LSR,-0.39583626,-0.17910251,0.8578572148182143,KCNK6,-1.0424037,-0.21704614,0.8281723909834919,SLC30A10,-23.072235,-0.16480215,0.8690997148417455,GDPD2,-0.9910628,-0.08706985,0.9306159903310638,SCRT2,-0.8572646,-0.11140781,0.9112929667088818,RBCK1,0.07171324,-0.3827149,0.7019311667804313
1643,ELF2,-0.5913819,-1.0184044,0.3084858516721799,DYNLT1,-0.21488993,-0.17939484,0.8576276842620181,EME2,-0.54414356,-0.21863396,0.8269351870612455,GDPD2,-22.975792,-0.16480215,0.8690997148417455,ARHGAP36,-1.2819691,-0.08734517,0.9303971507441325,LINC01094,-0.95999676,-0.111842535,0.9109482616849379,C11orf96,-0.10786887,-0.38496763,0.7002613947631204
1644,BGN,-0.0097724,-1.0305842,0.30273583035464213,ATP11A,-0.47878426,-0.18071033,0.8565949459904211,ZIC1,-0.84186465,-0.22013824,0.8257634952064592,EFCC1,-1.8903371,-0.16955863,0.8653572592267689,AC087241.1,-1.4094759,-0.087414,0.9303424416690312,UBE2C,-1.0673437,-0.11188205,0.9109169256946552,COL4A2,-0.10273421,-0.38760722,0.698306736359791
1645,CLIC1,-0.07300193,-1.0323561,0.30190530405769056,VASP,-0.61542916,-0.18468119,0.8534791022600323,CREB3L1,-0.29899305,-0.22062573,0.8253838633631929,RAB11FIP3,-0.1353479,-0.1702509,0.8648128321428258,AC015917.2,-1.4957329,-0.08744842,0.9303150872549022,EVI2B,-1.1841749,-0.11215869,0.9106975776449335,ATPAF2,-0.92556876,-0.39252228,0.6946723626745992
1646,ANXA5,-0.0979135,-1.0351337,0.30060645245074213,ACSF2,-0.6408014,-0.18477863,0.853402668357296,TEAD1,-2.1526558,-0.22098787,0.8251018775622728,H6PD,-0.9445981,-0.17107713,0.8641631160865506,CDKN2A,-0.9035633,-0.08970259,0.9285235539258287,COMP,-0.44203827,-0.1125539,0.9103842350982595,TBC1D7,-0.036942746,-0.39652714,0.6917161969908876
1647,ZNFX1,-0.6090557,-1.0425886,0.2971388872552182,XPNPEP3,-0.50009304,-0.18548511,0.8528485637639117,VRK2,-1.0852746,-0.22141965,0.8247656932182217,ADCYAP1R1,-0.1789367,-0.17255098,0.8630043914036416,ROBO3,-0.48470697,-0.08996071,0.9283184394641315,MSN,-0.3829867,-0.11431255,0.908990030451189,LCMT2,-1.9371858,-0.40196556,0.6877093758887062
1648,MVB12B,-0.29876652,-1.0488461,0.29424893758138726,SOWAHC,-23.444214,-0.18575308,0.8526384051380553,WFDC2,-0.13425337,-0.2238014,0.8229118362128991,EDN1,-23.117672,-0.17304225,0.8626182151978217,PLN,-1.679041,-0.09001233,0.9282774171428816,STC1,-22.307947,-0.11524128,0.9082538778852465,TMEM220,-24.461971,-0.40276197,0.6871233350324859
1649,TNFSF10,-0.15566991,-1.0552634,0.2913048994090712,COMP,-0.3511146,-0.18643518,0.8521035031453532,LCMT2,-0.47682217,-0.22466497,0.8222399210398432,HTR1D,-23.008965,-0.17304225,0.8626182151978217,AC002070.1,-1.6328253,-0.09004674,0.9282500690346062,N4BP2,-22.40254,-0.11524128,0.9082538778852465,AP001999.1,-24.303183,-0.40276197,0.6871233350324859
1650,TUBA1C,-1.2573857,-1.0577695,0.2901605093342593,IKBKE,-1.5970199,-0.1866788,0.8519124831910503,ITGAX,-0.7645298,-0.22491568,0.8220448732863391,HDHD5-AS1,-23.188011,-0.17304225,0.8626182151978217,AL441992.1,-1.8071744,-0.09004674,0.9282500690346062,BEST4,-22.321804,-0.11524128,0.9082538778852465,PMS1,-1.1881583,-0.40287575,0.6870396302460324
1651,SAP30,-0.8051113,-1.0650009,0.2868755227103955,PLD1,-1.5872859,-0.18682496,0.8517978753874341,PLPP3,-0.25103128,-0.22537531,0.8216873143114347,CTNNA3,-1.6146953,-0.17746377,0.8591441174618809,EIF4EBP3,-0.80044025,-0.09142334,0.9271562145413944,HIST1H2AE,-22.510128,-0.11524128,0.9082538778852465,B3GALT6,-0.035449922,-0.41013458,0.6817072349459079
1652,FOS,-0.20524107,-1.0673635,0.28580774500710815,FABP7,-0.2390946,-0.18760452,0.8511866866814667,PPP1R3B,-3.389551,-0.22905241,0.8188281818957615,HSPA2,-0.2778948,-0.17786573,0.858828424526566,LINC00910,-21.791283,-0.09292039,0.9259668040988771,AL024508.2,-22.340387,-0.11524128,0.9082538778852465,CYP2U1,-24.327747,-0.4108172,0.6812065675978475
1653,HLA-B,-0.11843149,-1.0741159,0.2827707448930783,PYGL,-1.1810944,-0.1884328,0.8505373966218356,LMOD1,-1.5177529,-0.2296374,0.8183735409082146,MSX2,-1.9540659,-0.1781337,0.8586179751052136,AL391834.2,-21.889582,-0.09292039,0.9259668040988771,BLM,-22.358738,-0.11524128,0.9082538778852465,MYBPC1,-0.31675526,-0.4135023,0.6792386399530568
1654,ELK1,-0.02920014,-1.0753131,0.28223456096438704,MYH11,-1.3378361,-0.1888713,0.8501936958209977,PAWR,-0.6799276,-0.23019454,0.8179406062669994,PROX1,-1.1466913,-0.18076874,0.8565490931511863,ZCWPW2,-21.778275,-0.09292039,0.9259668040988771,EXOC3L1,-22.23398,-0.11524128,0.9082538778852465,MRM2,-0.12125185,-0.41454902,0.6784720726472376
1655,SPDEF,-0.17590983,-1.080166,0.28006829247855125,PLAGL1,-1.2442902,-0.18916363,0.8499645777632171,DBX2,-2.0607715,-0.23025025,0.8178973158543854,MYH15,-23.128967,-0.18128236,0.8561459508002374,MIR155HG,-22.042892,-0.09292039,0.9259668040988771,IL2RG,-22.452627,-0.11524128,0.9082538778852465,KDM3B,-0.024599427,-0.41518617,0.6780056292371754
1656,ATR,-1.7665797,-1.0881635,0.27652293326924815,TIMP3,-0.1887181,-0.19106379,0.8484756200521602,PDLIM4,-0.54868746,-0.23045918,0.8177349817540167,KCTD7,-0.36343688,-0.18474366,0.8534301058420815,AC016722.3,-21.989422,-0.09292039,0.9259668040988771,OXTR,-22.303497,-0.11524128,0.9082538778852465,CNOT6L,-0.24308981,-0.4173251,0.6764406152917484
1657,P2RX7,-1.4364718,-1.088802,0.2762411954680942,KIF6,-23.33342,-0.1931832,0.8468154973752853,ATAD2B,-1.3582225,-0.23091881,0.8173778742550352,LTBP3,-0.16082369,-0.18498929,0.8532374340634552,AC023509.3,-21.93451,-0.09292039,0.9259668040988771,ARL13B,-0.60048425,-0.117849626,0.9061868089411013,BACE2,-1.3556744,-0.4193503,0.67496013360918
1658,CYFIP1,-0.13692789,-1.0946286,0.2736793805841441,FAM107B,-0.3685236,-0.19364606,0.8464530320115444,ZNF217,-0.63778263,-0.2313088,0.8170749036721857,FAM107B,-0.30652,-0.18536893,0.8529396858119054,C9orf50,-21.964943,-0.09292039,0.9259668040988771,IL15RA,-1.3071967,-0.11804722,0.9060302385224666,RGCC,0.08020596,-0.42285457,0.6724013729099678
1659,TAF6L,-0.968582,-1.1024346,0.27027277399602734,ARMH4,-1.5020924,-0.19379222,0.8463385760108709,DENND2D,-0.79842925,-0.23401092,0.8149765033698728,ZNF571,-1.4151869,-0.18545824,0.852869630443174,FAM163B,-21.923971,-0.09292039,0.9259668040988771,UFSP1,-1.5674775,-0.11820531,0.9059049848168319,VTI1A,-0.81357974,-0.43084154,0.6665835919608493
1660,CCNB1IP1,-0.2519979,-1.1140877,0.265241546958775,STK3,-1.75067,-0.19452305,0.8457663446849215,ACTA2,-0.37239224,-0.23467948,0.8144575156797003,CSMD3,-1.0028577,-0.18769133,0.8511186247948315,GTF2H2C,-21.865683,-0.09292039,0.9259668040988771,HLA-DOA,-1.4340054,-0.11820531,0.9059049848168319,C9orf116,-0.4156332,-0.43102357,0.6664512247615861
1661,ERBIN,-0.23753448,-1.129157,0.2588316081719838,ALB,-2.411844,-0.19510773,0.8453086181782298,ARSD,-0.4770504,-0.23612803,0.8133333219650871,NDNF,-23.397026,-0.18952248,0.8496833473091453,RGS22,-21.957703,-0.09292039,0.9259668040988771,GOLT1A,-1.4772173,-0.11820531,0.9059049848168319,FZD8,-0.74360555,-0.43270746,0.6652273209737426
1662,TCEA1,-0.027312212,-1.1306416,0.25820597883682594,ANKRD36C,-1.3686419,-0.19669119,0.8440692048416081,CD22,-1.061598,-0.23933156,0.8108484928133508,PLEKHD1,-23.194769,-0.18952248,0.8496833473091453,FAAP24,-22.071367,-0.09292039,0.9259668040988771,AC073508.3,-1.6750358,-0.118284345,0.9058423588414999,SLC2A1,0.098412536,-0.43309426,0.6649462797029067
1663,AKAP13,-0.81153125,-1.1391021,0.2546605812143613,FAM129A,-1.0173434,-0.19771436,0.8432685582268792,C6orf132,-1.1235286,-0.23961014,0.8106325103676415,ANKEF1,-23.264252,-0.18952248,0.8496833473091453,FLG-AS1,-21.896101,-0.09292039,0.9259668040988771,HDHD5-AS1,-1.5730708,-0.118284345,0.9058423588414999,FBXW4,0.04856513,-0.4427196,0.657968559090139
1664,PRSS8,-0.5966441,-1.1416721,0.25359032020934136,SLC31A2,-0.55929065,-0.19842082,0.842715825270589,CTF1,-3.2248375,-0.24590576,0.8057551818090277,AF111167.2,-1.0661997,-0.19003607,0.8492808587116467,RGS18,-21.980366,-0.09292039,0.9259668040988771,RSAD1,-0.2620089,-0.12105077,0.9036508213265289,CAMKMT,-0.57379663,-0.4443807,0.6567673537943621
1665,SIN3A,-0.27221236,-1.1425501,0.2532254217825246,LPIN3,-23.448309,-0.20061332,0.8410009416342472,ZNF845,-3.4877088,-0.24596147,0.8057120530216249,CCDC173,-0.61947846,-0.1917109,0.8479686693299331,AC134312.6,-21.939781,-0.09292039,0.9259668040988771,GATA2,-1.2585762,-0.12156454,0.9032439017985109,FZD1,-2.4229958,-0.45061556,0.6522666489853766
1666,SIL1,-0.53445345,-1.1631587,0.2447651517133269,GRN,-0.15848066,-0.20149031,0.8403151988889297,CRIP1,-0.4831986,-0.24696432,0.8049358360323537,SLC46A3,-0.9237104,-0.19336338,0.8466743886549313,AL035420.3,-21.973316,-0.09292039,0.9259668040988771,GSTM2,-1.3053641,-0.121762134,0.9030874010488835,MUCL1,-24.528399,-0.4510934,0.651922223656772
1667,ARHGAP39,-0.9896388,-1.1669419,0.2432338337371237,FAP,-1.9223558,-0.2021237,0.8398200155642966,ARID2,-0.4873646,-0.24855216,0.8037072192059144,CD163,-1.6811233,-0.19394399,0.8462197393799518,TPSAB1,-21.904177,-0.09292039,0.9259668040988771,GPRC5B,-0.06692769,-0.12330343,0.9018668248994337,GYG1,0.034469184,-0.45398328,0.6498408547209735
1668,LTF,-0.115559235,-1.1713477,0.24145902823063725,TMC7,-2.4120357,-0.20261092,0.8394391484402317,APCDD1,-0.37933308,-0.2531346,0.8001642027916795,IL18,-2.0401857,-0.19430128,0.8459399806462382,AC015912.3,-21.835773,-0.09292039,0.9259668040988771,MTMR11,-0.8373618,-0.12433096,0.9010532361482244,AL451165.2,-0.5020907,-0.45528033,0.6489075834197806
1669,MRM2,-0.6461379,-1.1814843,0.23741035691237788,ENPP1,-1.3385029,-0.20378026,0.8385252208989915,ERCC6,-0.6827412,-0.25381708,0.7996368692339654,INTS12,-0.66426134,-0.19450226,0.8457826248909243,C10orf82,-21.958416,-0.09292039,0.9259668040988771,MT1E,-0.06284997,-0.12468664,0.9007716334448501,PAX6,-0.69025254,-0.45546237,0.6487766420346677
1670,VPS18,-0.46939412,-1.1824262,0.2370366308516244,SLC26A2,-23.43322,-0.20804344,0.8351950464671585,RAB25,-0.38004553,-0.25398424,0.7995077402367551,CERNA1,-2.1534252,-0.19465858,0.845660241333486,BTN3A2,-0.36812887,-0.09520899,0.924148830656768,AC048382.5,-22.553253,-0.12484472,0.9006464806943637,NOP16,-0.13665034,-0.46759072,0.6400772972092166
1671,IGHG1,-1.3299719,-1.183783,0.23649894323225684,TRAM2,-1.8339248,-0.20918842,0.8343011572881773,EFCAB11,-1.0757838,-0.25600386,0.797947865795584,TINCR,-0.8748471,-0.19470324,0.8456252752866398,NMD3,-0.26648214,-0.09582846,0.9236568153403973,RASAL2-AS1,-22.420557,-0.12484472,0.9006464806943637,ARID1A,0.14418644,-0.47430342,0.6352835480530888
1672,TOR1AIP1,-0.2547156,-1.184677,0.23614517355596187,RBPMS,-0.98202205,-0.20928586,0.8342250914823894,LINC01094,-1.8343464,-0.2564635,0.797592972306223,SDC2,-0.19694059,-0.19494888,0.8454329674657949,ACSL5,-0.9485674,-0.09617261,0.923383486106101,AGAP2-AS1,-22.545313,-0.12484472,0.9006464806943637,TMEM191C,-1.3689728,-0.4753274,0.6345536335658444
1673,GYG1,-0.21381207,-1.1866086,0.23538205686010816,RSPO3,-2.1702206,-0.2098218,0.8338067572976199,ASCC2,-0.52657396,-0.2628009,0.7927040389684316,ATG13,-0.14332029,-0.19523919,0.845205706460083,EFEMP2,-0.2595682,-0.09624144,0.9233288213437879,AC009404.1,-22.496954,-0.12484472,0.9006464806943637,MCCD1,-1.1516435,-0.4806293,0.6307799922934223
1674,TELO2,-0.52514577,-1.1879016,0.23487218642440133,SLC16A9,-2.152238,-0.20987052,0.8337687292480279,SHISA2,-0.9949778,-0.2675505,0.7890453486122162,COL4A1,-0.58654124,-0.19631107,0.8443667006230722,COPZ2,-0.32870215,-0.09732551,0.9224678992688522,KCTD18,-0.37806246,-0.12599081,0.899739197311857,ARSD,-1.107721,-0.48781985,0.6256774528946036
